City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Busselton,AU,2020-11-04 18:06:33,-33.65,115.33,53.01,74,90,1.99
99,Peniche,PT,2020-11-04 18:06:33,39.36,-9.38,57.0,66,100,5.99
100,Lebu,CL,2020-11-04 18:06:33,-37.62,-73.65,55.49,62,9,11.14
101,Lyaskelya,RU,2020-11-04 18:06:33,61.77,31.02,45.01,90,100,13.71
102,Upernavik,GL,2020-11-04 18:06:33,72.79,-56.15,17.96,95,100,8.66
103,Cherskiy,RU,2020-11-04 18:06:33,68.75,161.3,3.85,84,86,3.76
104,Poum,NC,2020-11-04 18:06:33,-20.23,164.02,75.56,83,0,8.9
105,Narsaq,GL,2020-11-04 18:06:34,60.92,-46.05,30.2,86,75,3.36
106,Luganville,VU,2020-11-04 18:06:34,-15.53,167.17,78.46,83,99,2.46
107,Vaini,TO,2020-11-04 18:06:34,-21.2,-175.2,73.4,83,40,11.41
108,Williams Lake,CA,2020-11-04 18:06:34,52.14,-122.14,41.0,93,75,11.41
109,Kruisfontein,ZA,2020-11-04 18:06:34,-34.0,24.73,69.01,82,93,4.0
110,Sobradinho,BR,2020-11-04 18:06:34,-12.83,-39.1,81.59,72,90,3.91
111,Ostrovnoy,RU,2020-11-04 18:06:35,68.05,39.51,36.14,84,37,21.54
112,Goma,CD,2020-11-04 18:06:35,-1.68,29.22,65.61,78,90,4.21
113,Kralendijk,BQ,2020-11-04 18:06:35,12.15,-68.27,86.0,70,20,21.92
114,Port Hedland,AU,2020-11-04 18:06:35,-20.32,118.57,75.2,73,0,5.82
115,Lagoa,PT,2020-11-04 18:06:35,39.05,-27.98,61.05,70,75,18.52
116,Kostomuksha,RU,2020-11-04 18:06:35,64.57,30.58,38.48,83,91,10.29
117,Atuona,PF,2020-11-04 18:06:36,-9.8,-139.03,78.85,79,24,20.89
118,Uturoa,PF,2020-11-04 18:06:36,-16.73,-151.43,79.9,77,100,15.3
119,Eyl,SO,2020-11-04 18:05:57,7.98,49.82,78.6,72,62,15.64
120,Dubbo,AU,2020-11-04 18:05:06,-32.25,148.62,66.2,72,90,14.99
121,Clyde River,CA,2020-11-04 18:05:51,70.47,-68.59,3.2,59,75,13.87
122,Khandyga,RU,2020-11-04 18:06:36,62.67,135.6,-4.22,91,100,1.61
123,Luderitz,NA,2020-11-04 18:06:37,-26.65,15.16,62.04,89,9,11.41
124,Port Elizabeth,ZA,2020-11-04 18:03:08,-33.92,25.57,68.0,82,0,6.93
125,Moroni,KM,2020-11-04 18:06:25,-11.7,43.26,76.33,74,35,2.46
126,Hithadhoo,MV,2020-11-04 18:06:37,-0.6,73.08,83.82,69,39,4.76
127,Fort Nelson,CA,2020-11-04 18:06:37,58.81,-122.7,-2.2,77,20,3.49
128,Airai,TL,2020-11-04 18:06:38,-8.93,125.41,61.65,85,97,1.92
129,Kupang,ID,2020-11-04 18:06:38,-10.17,123.58,79.14,77,100,6.06
130,Challapata,BO,2020-11-04 18:06:38,-18.9,-66.77,61.93,29,12,5.66
131,Karlskrona,SE,2020-11-04 18:06:38,56.16,15.59,46.4,87,0,8.05
132,Nichinan,JP,2020-11-04 18:06:38,31.6,131.37,54.45,67,0,4.38
133,Barrow,US,2020-11-04 18:05:46,71.29,-156.79,26.6,58,20,26.4
134,Dicabisagan,PH,2020-11-04 18:06:38,17.08,122.42,75.11,83,100,9.78
135,Jiangyou,CN,2020-11-04 18:06:38,31.77,104.72,56.97,60,99,1.77
136,Sola,VU,2020-11-04 18:06:39,-13.88,167.55,80.76,84,100,9.15
137,Sarangani,PH,2020-11-04 18:06:39,5.4,125.46,82.94,73,74,6.15
138,Port Lincoln,AU,2020-11-04 18:06:39,-34.73,135.87,53.38,62,17,11.05
139,Kavaratti,IN,2020-11-04 18:06:39,10.57,72.64,82.76,77,81,7.34
140,Moerai,PF,2020-11-04 18:06:39,-22.43,-151.33,75.27,80,100,12.57
141,Saskylakh,RU,2020-11-04 18:06:39,71.92,114.08,-2.67,91,98,5.59
142,Lompoc,US,2020-11-04 18:06:40,34.64,-120.46,60.8,76,1,7.7
143,Tasiilaq,GL,2020-11-04 18:05:44,65.61,-37.64,28.4,92,20,14.99
144,Nanortalik,GL,2020-11-04 18:06:40,60.14,-45.24,33.31,89,100,5.1
145,Turayf,SA,2020-11-04 18:06:40,31.67,38.66,62.6,63,0,6.93
146,Sidi Ali,DZ,2020-11-04 18:06:40,36.1,0.42,64.8,76,78,8.86
147,Avarua,CK,2020-11-04 18:06:40,-21.21,-159.78,71.6,88,100,11.41
148,Tsumeb,NA,2020-11-04 18:06:40,-19.23,17.72,82.99,17,61,12.19
149,Sangre Grande,TT,2020-11-04 18:06:41,10.58,-61.12,87.8,55,40,11.41
150,Vestmanna,FO,2020-11-04 18:06:41,62.16,-7.17,50.0,100,100,24.16
151,Plover,US,2020-11-04 18:06:41,44.46,-89.54,64.99,42,1,6.93
152,Nanning,CN,2020-11-04 18:06:41,22.82,108.32,66.2,72,0,2.24
153,Sidney,AU,2020-11-04 18:02:55,-33.87,151.21,69.01,77,85,21.92
154,Bredasdorp,ZA,2020-11-04 18:06:41,-34.53,20.04,68.0,77,15,12.75
155,San Jose De Guanipa,VE,2020-11-04 18:04:17,8.89,-64.17,86.43,57,99,12.1
156,Zhigansk,RU,2020-11-04 18:06:41,66.77,123.37,-1.23,92,100,6.76
157,Souillac,MU,2020-11-04 18:06:42,-20.52,57.52,73.4,73,75,10.29
158,Khatanga,RU,2020-11-04 18:06:42,71.97,102.5,-5.12,91,65,8.43
159,Milan,IT,2020-11-04 18:06:42,45.46,9.19,60.01,93,75,1.12
160,Ibra,OM,2020-11-04 18:06:42,22.69,58.53,61.95,57,0,1.97
161,Talara,PE,2020-11-04 18:06:42,-4.58,-81.27,77.0,61,0,13.87
162,Levelland,US,2020-11-04 18:06:42,33.59,-102.38,75.99,30,75,14.99
163,Nakapiripirit,UG,2020-11-04 18:06:42,1.92,34.78,74.64,46,36,10.18
164,Haapiti,PF,2020-11-04 18:06:43,-17.57,-149.87,80.6,78,40,14.99
165,Hilo,US,2020-11-04 18:06:43,19.73,-155.09,75.2,88,90,8.05
166,Marawi,PH,2020-11-04 18:06:43,8.0,124.29,75.99,89,100,5.01
167,Yeppoon,AU,2020-11-04 18:06:43,-23.13,150.73,66.2,82,0,7.45
168,Maragogi,BR,2020-11-04 18:06:43,-9.01,-35.22,82.58,65,73,12.68
169,Indramayu,ID,2020-11-04 18:06:44,-6.33,108.32,81.91,77,84,5.77
170,Bhadravati,IN,2020-11-04 18:06:44,13.87,75.72,71.56,80,93,3.65
171,Nemuro,JP,2020-11-04 18:06:44,43.32,145.57,41.67,72,17,20.67
172,Mackay,AU,2020-11-04 18:06:44,-21.15,149.2,64.99,88,0,4.7
173,Wagga Wagga,AU,2020-11-04 18:02:10,-35.12,147.37,53.6,100,86,11.41
174,Izhma,RU,2020-11-04 18:06:45,65.01,53.91,36.75,92,88,5.55
175,Chase,CA,2020-11-04 18:06:45,50.82,-119.69,46.99,93,92,2.24
176,High Rock,BS,2020-11-04 18:06:45,26.62,-78.28,80.6,65,75,23.04
177,Ryki,PL,2020-11-04 18:06:45,51.63,21.93,50.0,46,100,5.23
178,Antofagasta,CL,2020-11-04 18:06:45,-23.65,-70.4,66.0,63,20,18.34
179,Barreirinhas,BR,2020-11-04 18:06:46,-2.75,-42.83,87.04,60,100,12.55
180,Ahipara,NZ,2020-11-04 18:06:46,-35.17,173.17,61.32,92,100,13.42
181,Ishigaki,JP,2020-11-04 18:06:46,24.34,124.16,74.35,74,68,23.89
182,Longyearbyen,SJ,2020-11-04 18:06:46,78.22,15.64,32.0,94,75,18.34
183,Faya,SA,2020-11-04 18:06:46,18.39,42.45,64.4,82,20,6.93
184,Te Anau,NZ,2020-11-04 18:06:46,-45.42,167.72,56.77,91,100,3.42
185,Mbanza-Ngungu,CD,2020-11-04 18:06:47,-5.25,14.87,72.73,93,72,4.92
186,Castro,BR,2020-11-04 18:06:47,-24.79,-50.01,66.63,64,68,7.78
187,Fortuna,US,2020-11-04 18:06:47,40.6,-124.16,66.0,62,1,3.36
